feature,max_alpha_nonzero,source,geopolitical_index,representation
fed_pressure_max_ma3,1e-05,Geopolitical,Fed Pressure,MA3
trade_mean_lag2,1e-05,Geopolitical,Trade,Lag
USEPUINDXD,1e-05,Macro,,Other
fed_pressure_sum_ma10,9.3260334688322e-06,Geopolitical,Fed Pressure,MA10
trade_sum_ma5,9.3260334688322e-06,Geopolitical,Trade,MA5
trade_sum_lag1,8.697490026177835e-06,Geopolitical,Trade,Lag
fed_pressure_max_lag3,8.697490026177835e-06,Geopolitical,Fed Pressure,Lag
fed_pressure_sum_ma5,8.111308307896873e-06,Geopolitical,Fed Pressure,MA5
sanctions_mean_ma5,6.579332246575683e-06,Geopolitical,Sanctions,MA5
DGS2_lag5,6.1359072734131755e-06,Macro,,Lag
fed_pressure_mean_ma3,5.336699231206313e-06,Geopolitical,Fed Pressure,MA3
sanctions_mean_ma10,5.336699231206313e-06,Geopolitical,Sanctions,MA10
VIXCLS_lag1,5.336699231206313e-06,Macro,,Lag
fed_pressure_max_ma10,4.328761281083061e-06,Geopolitical,Fed Pressure,MA10
sanctions_max_ma5,4.037017258596558e-06,Geopolitical,Sanctions,MA5
sanctions_sum_ma10,4.037017258596558e-06,Geopolitical,Sanctions,MA10
fed_pressure_sum_lag2,3.5111917342151275e-06,Geopolitical,Fed Pressure,Lag
DGS2_lag3,3.2745491628777315e-06,Macro,,Lag
USEPUINDXD_lag5,3.0538555088334123e-06,Macro,,Lag
sanctions_sum_ma5,2.848035868435805e-06,Geopolitical,Sanctions,MA5
sanctions_max,1.873817422860383e-06,Geopolitical,Sanctions,Max
DGS2_ma3,1.747528400007683e-06,Macro,,MA3
DGS2_ma10,1.747528400007683e-06,Macro,,MA10
DGS2_ma5,1.747528400007683e-06,Macro,,MA5
sanctions_max_ma3,1.519911082952933e-06,Geopolitical,Sanctions,MA3
fed_pressure_sum_ma3,1.3219411484660288e-06,Geopolitical,Fed Pressure,MA3
VIXCLS,,Macro,,Other
DGS2_lag1,,Macro,,Lag
DGS2_lag2,,Macro,,Lag
USEPUINDXD_lag1,,Macro,,Lag
USEPUINDXD_lag3,,Macro,,Lag
USEPUINDXD_ma3,,Macro,,MA3
USEPUINDXD_ma5,,Macro,,MA5
VIXCLS_ma3,,Macro,,MA3
VIXCLS_ma5,,Macro,,MA5
fed_pressure_sum,,Geopolitical,Fed Pressure,Sum
trade_sum_ma3,,Geopolitical,Trade,MA3
trade_mean_ma3,,Geopolitical,Trade,MA3
trade_max_diff,,Geopolitical,Trade,Difference
sanctions_sum_lag1,,Geopolitical,Sanctions,Lag
sanctions_sum_ma3,,Geopolitical,Sanctions,MA3
sanctions_mean_lag1,,Geopolitical,Sanctions,Lag
sanctions_mean_ma3,,Geopolitical,Sanctions,MA3
fed_pressure_mean_diff,,Geopolitical,Fed Pressure,Difference
fed_pressure_max_lag2,,Geopolitical,Fed Pressure,Lag
