Tweet ID,Date,Tweet,Severity,Role,Status,Trade Score (0-100),Band,Reason
883761448064864300,2017-07-08 18:55:23,"Leaving Hamburg for Washington, D.C. and the WH. Just left China's President Xi where we had an excellent meeting on trade &, North Korea.",Low,Direct,Concluded,25,Low,"Reports the conclusion of a high-level US-China meeting in which trade was explicitly discussed, making the tweet relevant to bilateral trade relations. However, the meeting is characterised positively and no dispute, policy change, threat, or concrete trade action is described."
884008221970763800,2017-07-09 11:15:58,The G 20 Summit was a great success for the U.S. - Explained that the U.S. must fix the many bad trade deals it has made. Will get done!,High,Direct,Ongoing,64,High,"Directly states that existing US trade agreements must be changed and commits to doing so following the G20 summit. This moves beyond dissatisfaction toward an explicit intention to alter current trade arrangements, although no specific partner, agreement, tariff, or implementation mechanism is identified. "
885232527656538100,2017-07-12 20:20:56,"""""""After 14 years, U.S. beef hits Chinese market. Trade deal an exciting opportunity for agriculture."""" https://t.co/gDGgejqFMs""",Very low,Direct,Concluded,10,Very low,Reports successful implementation of a trade agreement that restores US beef access to the Chinese market after 14 years and presents it as an economic opportunity for US agriculture. The tweet is directly trade-related but signals cooperation and improved market access rather than trade hostility.
885858247277727700,2017-07-14 13:47:19,"Great conversations with President @EmmanuelMacron and his representatives on trade, military and security.",Low,Direct,Concluded,23,Low,"Reports positive high-level discussions with France that included trade, but provides no indication of disagreement, economic threat, policy change, or trade restriction. The interaction is characterised positively, making the trade-hostility signal weak."
886259363412926500,2017-07-15 16:21:12,Stock Market at new all-time high! Working on new trade deals that will be great for U.S. and its workers!,Moderate,Direct,Ongoing,47,Moderate,"Directly states that the US is actively working on new trade agreements intended to benefit US workers, signalling ongoing changes to US trade relationships. However, no trading partner, specific agreement, restrictive measure, or source of trade conflict is identified, limiting the strength of the trade-hostility signal."
886743367815766e3,2017-07-17 00:24:28,"Heading back to Washington, D.C. Much will be accomplished this week on trade, the military and security!",Low,Direct,Ongoing/ Imminent,27,Low,"Signals imminent work on trade policy, but provides no target, specific policy measure, dispute, or indication of trade hostility. The expected action is therefore trade-relevant but carries limited information about geopolitical trade risk."
889821674987761700,2017-07-25 12:16:34,"Working on major Trade Deal with the United Kingdom. Could be very big &, exciting. JOBS! The E.U. is very protectionist with the U.S. STOP!",High,Direct,Ongoing,72,High,"Directly signals a major ongoing US-UK trade negotiation while accusing the EU of protectionist trade practices against the US and demanding that they stop. The tweet identifies specific trading partners and a clear source of trade tension, but does not announce concrete retaliatory measures against the EU."
891440474132795400,2017-07-29 23:29:05,"I am very disappointed in China. Our foolish past leaders have allowed them to make hundreds of billions of dollars a year in trade, yet... ...they do NOTHING for us with North Korea, just talk. We will no longer allow this to continue. China could easily solve this problem!",High,Direct,Ongoing/ Imminent,78,High,"Directly criticises China for benefitting substantially from trade with the US while failing to cooperate over North Korea, and states that the US will no longer allow the situation to continue. This signals a significant detoriation in the bilateral relationship and potential forthcoming trade action, but no specific tariff, restriction, or other measure is announced. "
897041646659014700,2017-08-14 10:26:09,Heading to Washington this morning. Much work to do. Focus on trade and military. #MAGA,Low,Direct,Ongoing/ Imminent,21,Low,"Identifies trade as an immediate policy priority but provides no specific trading partner, dispute, policy objective, negotiation, or proposed action, resulting in only a weak trade-hostility signal."
897048688639574e3,2017-08-14 10:54:08,The Obstructionist Democrats have given us (or not fixed) some of the worst trade deals in World History. I am changing that fast!,Moderate,Direct,Ongoing,54,Moderate,"Directly criticises existing US trade agreements and states that they are changed rapidly, indicating active trade-policy intervention. However, no specific agreement, trading partner, policy measure, or economic consequence is identified, limiting the strength of the trade-hostility signal."
897220584211439600,2017-08-14 22:17:11,"Big day in Washington, D.C., even though White House &, Oval Office are being renovated. Great trade deals coming for American workers!",Very Low,Direct,Ongoing,17,Very low,"Positively signals forthcoming trade agreements intended to benefit US workers, but provides no trading partner, policy detail, dispute, restrictive measure, or indication of hostility."
901804388649500700,2017-08-27 13:51:35,"We are in the NAFTA (worst trade deal ever made) renegotiation process with Mexico &, Canada.Both being very difficult,may have to terminate?",Very high,Direct,Ongoing,84,Very High,"Directly reports difficult ongoing NAFTA renegotiations with Mexico and Canada and explicitly raises the possibility of terminating the agreement. This represents a concrete threat to a major existing trade framework involving identified trading partners, although termination has not yet been decided or implemented."
904377075049656300,2017-09-03 16:14:31,"The United States is considering, in addition to other options, stopping all trade with any country doing business with North Korea.",Very high,Direct,Ongoing,89,Very high,"Directly states that the US is considering ending all trade with countries that continue doing business with North Korea, signalling a potentially sweeping use of trade restrictions to exert geopolitical pressure. The proposed measure could affect multiple international trading relationships, but remains under consideration rather than implemented."
919005534883328e3,2017-10-14 01:02:48,"Many people talking, with much agreement, on my Iran speech today. Participants in the deal are making lots of money on trade with Iran!",Moderate,Direct,Ongoing,58,Moderate,"Directly criticises participants in the Iran deal for profiting from continued trade with Iran, linking an international trade relationship to an ongoing geopolitical dispute. However, no trade restriction, retaliatory action, or threat against those participants is announced."
923268967728386e3,2017-10-25 19:24:10,"Spoke to President Xi of China to congratulate him on his extraordinary elevation. Also discussed NoKo &, trade, two very important subjects!",Low,Direct,Concluded,24,Low,"Reports a high-level US-China discussion in which trade was identified as an important subject, but provides no information about disagreements, policy changes, threats, restrictions, or negotiation outcomes, resulting in a weak trade-hostility signal."
928769154345324500,2017-11-09 23:39:56,"I don't blame China, I blame the incompetence of past Admins for allowing China to take advantage of the U.S. on trade leading up to a point where the U.S. is losing $100's of billions. How can you blame China for taking advantage of people that had no clue? I would've done same!",Moderate,Direct,Ongoing,58,Moderate,"Directly describes the US-China trade relationship as highly disadvantageous to the US, claiming losses of hundreds of billions of dollars and that China has taken advantage of previous administrations. Despite the substantial claimed economic harm, no retaliatory measure, policy change, or threat toward China is announced."
930304414564352e3,2017-11-14 05:20:31,"After my tour of Asia, all Countries dealing with us on TRADE know that the rules have changed. The United States has to be treated fairly and in a reciprocal fashion. The massive TRADE deficits must go down quickly!",High,Direct,Ongoing,77,High,"Directly signals a broad shift in US trade policy following Trump's Asia tour, stating that the rules governing trade relationships have changed and demanding greater reciprocity and rapid reductions in US trade deficits. The rhetoric indicates a significant and immediate change in the US trade stance across multiple countries, but no specific tariff, restriction, termination, or other concrete measure is announced."
930305984077156400,2017-11-14 05:26:45,"Just arrived at #ASEAN50 in the Philippines for my final stop with World Leaders. Will lead to FAIR TRADE DEALS, unlike the horror shows from past Administrations. Will then be leaving for D.C. Made many good friends!",Moderate,Direct,Ongoing/ Future,50,Moderate,"Directly signals an intention to pursue new trade agreements following meetings with world leaders and strongly criticises previous US trade arrangements. However, no specific trading partner, dispute, restrictive measure, or concrete policy change is identified, limiting the strength of the trade-hostility signal."
953948941674078200,2018-01-18 11:15:25,"The Wall is the Wall, it has never changed or evolved from the first day I conceived of it. Parts will be, of necessity, see through and it was never intended to be built in areas where there is natural protection such as mountains, wastelands or tough rivers or water..... ....The Wall will be paid for, directly or indirectly, or through longer term reimbursement, by Mexico, which has a ridiculous $71 billion dollar trade surplus with the U.S. The $20 billion dollar Wall is ""peanuts"" compared to what Mexico makes from the U.S. NAFTA is a bad joke!",Very high,Direct,Ongoing,87,Very high,"Directly links Mexico's $71 billion trade surplus with the US to the dispute over financing the border wall, arguing that Mexico's gains from US trade justify its payment of the $20 billion cost, while explicitly attacking NAFTA as a ""bad joke"". The tweet combines a quantified economic grievance, a specific trading partner and major trade agreement, and a contentious bilateral policy dispute, producing a very strong trade-hostility signal."
969183644756660200,2018-03-01 12:12:42,"Our Steel and Aluminum industries (and many others) have been decimated by decades of unfair trade and bad policy with countries from around the world. We must not let our country, companies and workers be taken advantage of any longer. We want free, fair and SMART TRADE!",High,Direct,Ongoing,76,High,"Directly attributes severe damage to US steel and aluminium industries to decades of unfair international trade and states that the US will no longer accept its companies and workers being disadvantaged. The tweet signals a strong shift toward a more protective trade stance, but does not announce a specific tariff, restriction, target country, or implemented measure."
