Tweet ID,Date,Tweet,Severity,Role,Status,Fed Score (0-100),Band,Reason,
1152211072851619800,2019-07-19 13:38:21,"....but it is no thanks to the Federal Reserve. Had they not acted so fast and ""so much,"" we would be doing even better than we are doing right now. This is our chance to build unparalleled wealth and success for the U.S., GROWTH, which would greatly reduce % debt. Don't blow it!",Very high,Direct,Ongoing,90,Very high,"Directly blames the Fed's rapid and substantial policy tightening for limiting US economic growth, argues that the economy would be performing better without those actions, and warns against further policy decisions that could undermine future growth.",
1153274069028089900,2019-07-22 12:02:19,"With almost no inflation, our Country is needlessly being forced to pay a MUCH higher interest rate than other countries only because of a very misguided Federal Reserve. In addition, Quantitative Tightening is continuing, making it harder for our Country to compete. As good..... ....as we have done, it could have been soooo much better. Interest rate costs should have been much lower, &, GDP &, our Country's wealth accumulation much higher. Such a waste of time &, money. Also, very unfair that other countries manipulate their currencies and pump money in!",Very high,Direct,Ongoing,96,Very high,"Directly condemns Federal Reserve policy as misguided, argues that US interest rates are unnecessarily high, explicitly criticises the continuation of quantitative tightening, and claims these policies are suppressing GDP, wealth accumulation, and US international competitiveness. The tweet strongly advocates a substantially more accommodative monetary-policy stance.",
1158350120649408500,2019-08-05 12:12:44,"China dropped the price of their currency to an almost a historic low. It's called ""currency manipulation."" Are you listening Federal Reserve? This is a major violation which will greatly weaken China over time!",High,Direct,Ongoing,78,High,"Directly calls the Federal Reserve's attention to China's alleged currency manipulation and implies that US monetary policy should respond to China's competitive currency actions. However, no specific Fed policy change or action is explicitly demanded.",
1159083361803149300,2019-08-07 12:46:22,"""Three more Central Banks cut rates."" Our problem is not China - We are stronger than ever, money is pouring into the U.S. while China is losing companies by the thousands to other countries, and their currency is under siege - Our problem is a Federal Reserve that is too..... ....proud to admit their mistake of acting too fast and tightening too much (and that I was right!). They must Cut Rates bigger and faster, and stop their ridiculous quantitative tightening NOW. Yield curve is at too wide a margin, and no inflation! Incompetence is a..... ....terrible thing to watch, especially when things could be taken care of sooo easily. We will WIN anyway, but it would be much easier if the Fed understood, which they don't, that we are competing against other countries, all of whom want to do well at our expense!",Very high,Direct,Ongoing/ Imminent,99,Very high,"Directly and urgently demands larger and faster Federal Reserve rate cuts and an immediate end to quantitative tightening, while accusing the Fed of excessive previous tightening and incompetence. The tweet explicitly pressures the Fed to reverse monetary policy in response to international monetary competition.",
1164174364213952500,2019-08-21 13:56:12,"So Germany is paying Zero interest and is actually being paid to borrow money, while the U.S., a far stronger and more important credit, is paying interest and just stopped (I hope!) Quantitative Tightening. Strongest Dollar in History, very tough on exports. No Inflation!..... ....WHERE IS THE FEDERAL RESERVE?",Very high,Direct,Ongoing,93,Very high,"Directly pressures the Federal Reserve by contrasting US interest costs with Germany's negative rates, expressing dissatisfaction with quantitative tightening, and arguing that the strong dollar is harming US exports. The explicit challenge ""WHERE IS THE FEDERAL RESERVE?"" signals strong pressure for a more accommodative monetary-policy response.",
1166389407588466700,2019-08-27 16:37:59,The Federal Reserve loves watching our manufacturers struggle with their exports to the benefit of other parts of the world. Has anyone looked at what almost all other countries are doing to take advantage of the good old USA? Our Fed has been calling it wrong for too long!,High,Direct,Ongoing,82,High,"Directly blames the Federal Reserve for monetary conditions that disadvantage US manufacturers and exports relative to foreign competitors, and argues that the Fed has persistently made incorrect policy decisions.",
1185026994993451e3,2019-10-18 02:57:07,"The radical left tolerates no dissent, it permits no opposition, it accepts no compromise, and it has absolutely no respect for the will of the American People. They are coming after me, because I am fighting for YOU! #TrumpRallyDallas #KAG2020 https://t.co/OthKwS1bud",Very low,Indirect,Neutral,0,Very low,"Political campaign rhetoric directed at domestic political opponents with no reference to the Federal Reserve, monetary policy, interest rates, currency conditions, or any desired monetary-policy action.",
1196455500940038100,2019-11-18 03:49:55,"Just finished a very good &, cordial meeting at the White House with Jay Powell of the Federal Reserve. Everything was discused including interest rates, negative interest, low inflation, easing, Dollar strength &, its effect on manufacturing, trade with China, E.U. &, others, etc.",Moderate,Direct,Concluded,55,Moderate,"Reports a direct meeting with Federal Reserve Chair Jay Powell covering interest rates, monetary easing, inflation, dollar strength and its effect on manufacturing, but does not criticise Fed policy or explicitly advocate a particular policy change.",
1196632739266596900,2019-11-19 03:34:12,"At my meeting with Jay Powell this morning, I protested fact that our Fed Rate is set too high relative to the interest rates of other competitor countries. In fact, our rates should be lower than all others (we are the U.S.). Too strong a Dollar hurting manufacturers &, growth!",Very high,Direct,Ongoing,94,Very high,"Reports directly pressuring Fed Chair Jay Powell over US interest rates, explicitly arguing that the Fed rate is too high relative to foreign competitors and should be lower than rates abroad, while attributing harm to US manufacturing and economic growth to the resulting strong dollar.",
1234727146964254700,2020-03-03 06:27:46,"Australia's Central Bank cut interest rates and stated it will most likely further ease in order to make up for China's Coronavirus situation and slowdown. They reduced to 0.5%, a record low. Other countries are doing the same thing, if not more so. Our Federal Reserve has us.... Australia's Central Bank cut interest rates and stated it will most likely further ease in order to make up for China's Coronavirus situation and slowdown. They reduced to 0.5%, a record low. Other countries are doing the same thing, if not more so. Our Federal Reserve has us.... ....paying higher rates than many others, when we should be paying less. Tough on our exporters and puts the USA at a competitive disadvantage. Must be the other way around. Should ease and cut rate big. Jerome Powell led Federal Reserve has called it wrong from day one. Sad!",Very high,Direct,Ongoing/ Imminent,98,Very high,"Directly demands substantial Federal Reserve monetary easing and a large interest-rate cut, arguing that higher US rates relative to foreign economies harm exporters and place the US at a competitive disadvantage, while explicitly criticising Powell's leadership and past Fed decisions.",
1237378225417961500,2020-03-10 14:02:12,"The Federal Reserve must be a leader, not a very late follower, which it has been!",High,Direct,Ongoing,76,High,"Directly criticises the Federal Reserve for responding too slowly and demands that it take a more proactive leadership role, but does not specify what monetary-policy action it should take.",
1121782348469522400,2019-04-26 14:25:28,"Just out: Real GDP for First Quarter grew 3.2% at an annual rate. This is far above expectations or projections. Importantly, inflation VERY LOW. MAKE AMERICA GREAT AGAIN!",Low,Indirect,Ongoing,30,Low,"Highlights very low inflation alongside stronger-than-expected economic growth, providing information relevant to the monetary-policy environment, but does not mention the Federal Reserve or advocate any change in monetary policy.",
1126834718316683300,2019-05-10 13:01:47,"Great Consumer Price Index just out. Really good, very low inflation! We have a great chance to ""really rock!"" Good numbers all around.",Low,Indirect,Current,32,Low,"Highlights newly released CPI data showing very low inflation, a condition relevant to monetary policy, but does not mention the Federal Reserve, criticises its policy, or advocate any monetary-policy action.",
1140935620291964900,2019-06-18 10:53:44,"Mario Draghi just announced more stimulus could come, which immediately dropped the Euro against the Dollar, making it unfairly easier for them to compete against the USA. They have been getting away with this for years, along with China and others.",Moderate,Indirect,Ongoing,52,Moderate,"Criticises prospective European monetary stimulus for weakening the euro against the dollar and giving European firms a competitive advantage over the US, creating an indirect monetary-policy signal without explicitly criticising the Federal Reserve or calling for US easing.",
