Tweet ID,Date ,Tweet,Severity,Role,Status,Sanctions Score (0-100),Band,Reason
1142506680300789800,2019-06-22 18:56:33,"Iran cannot have Nuclear Weapons! Under the terrible Obama plan, they would have been on their way to Nuclear in a short number of years, and existing verification is not acceptable. We are putting major additional Sanctions on Iran on Monday. I look forward to the day that..... ....Sanctions come off Iran, and they become a productive and prosperous nation again - The sooner the better!",Very high,Direct,Ongoing/Imminent,90,Very high,"Directly announces major additional US sanctions against Iran to increase pressure over its nuclear programme, with a specific and imminent implementation date. The tweet also explicitly conditions future sanctions relief on a change in Iran's circumstances, making sanctions central to the ongoing geopolitical pressure strategy."
1142567481124503600,2019-06-22 22:58:10,"I never called the strike against Iran ""BACK,"" as people are incorrectly reporting, I just stopped it from going forward at this time!",Very low,Indirect,Concluded,15,Very low,"Reports the decision to halt a planned military strike against Iran, signalling ongoing US-Iran tensions but providing no direct information about sanctions or economic coercion. Any sanctions relevance arises only from the broader geopolitical context."
1143128642878410800,2019-06-24 12:08:01,"China gets 91% of its Oil from the Straight, Japan 62%, &, many other countries likewise. So why are we protecting the shipping lanes for other countries (many years) for zero compensation. All of these countries should be protecting their own ships on what has always been.... ....a dangerous journey. We don't even need to be there in that the U.S. has just become (by far) the largest producer of Energy anywhere in the world! The U.S. request for Iran is very simple - No Nuclear Weapons and No Further Sponsoring of Terror!",Very low,Indirect,Ongoing,12,Very low,"States US demands toward Iran regarding nuclear weapons and terrorism amid tensions over Gulf shipping and oil flows, but does not announce, threaten, maintain, remove, or otherwise describe sanctions or economic coercion. Sanction relevance is therefore contextual and weak."
1117033379776667600,2019-04-13 11:54:45,"I agree with Kim Jong Un of North Korea that our personal relationship remains very good, perhaps the term excellent would be even more accurate, and that a third Summit would be good in that we fully understand where we each stand. North Korea has tremendous potential for....... ....extraordinary growth, economic success and riches under the leadership of Chairman Kim. I look forward to the day, which could be soon, when Nuclear Weapons and Sanctions can be removed, and then watching North Korea become one of the most successful nations of the World!",Moderate,Direct,Ongoing,57,Moderate,"Directly signals the possibility of sanctions relief for North Korea if progress toward denuclearisation continues, presenting a removal as potentially occurring soon. However, sanctions remain in place and no concrete decision or timetable for lifting them is announced, so the signal represents prospective de-escalation rather than an implemented policy change."
1141711064305983500,2019-06-20 14:15:04,Iran made a very big mistake!,Low,Direct,Ongoing/Imminent,28,Low,"Directly warns Iran that it has made a ""very big mistake"", implying possible forthcoming retaliation during an ongoing US-Iran confrontation. However, no sanctions, economic restrictions, or specific response mechanism are identified, so the sanctions signal remains weak and uncertain."
1142055375186907100,2019-06-21 13:03:14,"President Obama made a desperate and terrible deal with Iran - Gave them 150 Billion Dollars plus I.8 Billion Dollars in CASH! Iran was in big trouble and he bailed them out. Gave them a free path to Nuclear Weapons, and SOON. Instead of saying thank you, Iran yelled..... ....Death to America. I terminated deal, which was not even ratified by Congress, and imposed strong sanctions. They are a much weakened nation today than at the beginning of my Presidency, when they were causing major problems throughout the Middle East. Now they are Bust!.... ....On Monday they shot down an unmanned drone flying in International Waters. We were cocked &, loaded to retaliate last night on 3 different sights when I asked, how many will die. 150 people, sir, was the answer from a General. 10 minutes before the strike I stopped it, not.... ....proportionate to shooting down an unmanned drone. I am in no hurry, our Military is rebuilt, new, and ready to go, by far the best in the world. Sanctions are biting &, more added last night. Iran can NEVER have Nuclear Weapons, not against the USA, and not against the WORLD!",Very high,Direct,Ongoing,95,Very high,"Directly describes the termination of the Iran nuclear deal and imposition of strong sanctions, claims that these measures are substantially weakening Iran, and announces that additional sanctions were imposed the previous night. The sanctions regime is presented as actively ""biting"" and continuing to escalate amid severe US-Iran tensions over Iran's nuclear programme and recent military confrontation."
1109143448634966e3,2019-03-22 17:22:59,It was announced today by the U.S. Treasury that additional large scale Sanctions would be added to those already existing Sanctions on North Korea. I have today ordered the withdrawal of those additional Sanctions!,Moderate,Direct,Concluded,47,Moderate,"Reports that additional large-scale sanctions against North Korea had been announced but directly orders their withdrawal, reversing the planned escalation. Although the tweet concerns a significant existing sanctions regime, the communicated policy action reduces rather than intensifies sanctions pressure."
1183376270731763700,2019-10-13 13:37:43,"Dealing with @LindseyGrahamSC and many members of Congress, including Democrats, about imposing powerful Sanctions on Turkey. Treasury is ready to go, additional legislation may be sought. There is great consensus on this. Turkey has asked that it not be done. Stay tuned!",Very high,Direct,Imminent/Ongoing,94,Very high,"Directly signals preparations to impose powerful US sanctions on Turkey, with Treasury ready to act, broad congressional support, and possible additional legislation under consideration. Turkey's request that the sanctions not be imposed further indicates that the threat is credible and consequential, although implementation has not yet occured. "
121650672215364e4,2020-01-12 23:46:18,"National Security Adviser suggested today that sanctions & protests have Iran ""choked off"", will force them to negotiate. Actually, I couldn't care less if they negotiate. Will be totally up to them but, no nuclear weapons and ""don't kill your protesters.""",Very high,Direct,Ongoing,87,Very high,"States that esisting US sanctions have effectively ""chocked off"" Iran and presents them as successful tools for compelling behavioural change while reaffirming the central US demand that Iran never obtain nuclear weapons. The tweet communicates an active, severe, and ongoing sanctions strategy rather than merely discussing sanctions in general."
1221225245220266e3,2020-01-26 00:16:02,"Iranian Foreign Minister says Iran wants to negotiate with The United States, but wants sanctions removed. @FoxNews @OANN No Thanks!",Very high,Direct,Ongoing,91,Very high,"Directly rejects Iran's request for sanctions relief in connection with negotiations with the United States, signalling that substantial existing economic pressure will remain in place despite Iran's expressed willingness to negotiate."
1174305447513186300,2019-09-18 12:53:30,I have just instructed the Secretary of the Treasury to substantially increase Sanctions on the country of Iran!,Very high,Direct,Partially concluded,95,Very high,"Directly announces that the Treasury Secretary has been instructed to substantially increase US sanctions against Iran, representing a concrete and significant escalation of an existing sanctions regime. This decision has already been made, although implementation of the increased sanctions is still underway."
984017894240604200,2018-04-11 10:38:42,"So much Fake News about what is going on in the White House. Very calm and calculated with a big focus on open and fair trade with China, the coming North Korea meeting and, of course, the vicious gas attack in Syria. Feels great to have Bolton &, Larry K on board. I (we) are ....doing things that nobody thought possible, despite the never ending and corrupt Russia Investigation, which takes tremendous time and focus. No Collusion or Obstruction (other than I fight back), so now they do the Unthinkable, and RAID a lawyers office for information! BAD!",Very low,Indirect,Ongoing,10,Very low,"References an upcoming meeting with North Korea alongside other geopolitical issues but communicates no sanctions, economic restrictions, sanctions threat, or coercive economic policy. The tweet therefore contains geopolitical relevance but almost no Sanction Threat signal."
1017093020783710200,2018-07-11 17:07:27,"What good is NATO if Germany is paying Russia billions of dollars for gas and energy? Why are there only 5 out of 29 countries that have met their commitment? The U.S. is paying for Europe's protection, then loses billions on Trade. Must pay 2% of GDP IMMEDIATELY, not by 2025.",Low,Direct,Ongoing,36,Low,"Criticises Germany for paying Russia billions of dollars for gas and energy while relying on US-funded security, highlighting an economically contentious relationship with Russia. However, no sanctions, economic restriction, or threat to disrupt Germany-Russia energy trade is proposed."
1017190186269184e3,2018-07-11 23:33:33,"Billions of additional dollars are being spent by NATO countries since my visit last year, at my request, but it isn't nearly enough. U.S. spends too much. Europe's borders are BAD! Pipeline dollars to Russia are not acceptable!",Low,Direct,Ongoing,39,Low,"Directly condemns European financial flows to Russia through pipeline arrangements as unacceptable, signalling opposition to an economic relationship benefiting Russia. However ,no sanctions, restriction, economic penalty, or concrete coercive response is proposed."
1135332642851893200,2019-06-02 23:49:30,"Hearing word that Russia, Syria and, to a lesser extent, Iran, are bombing the hell out of Idlib Province in Syria, and indiscriminately killing many innocent civilians. The World is watching this butchery. What is the purpose, what will it get you? STOP!",Very low,Direct,Ongoing,17,Very low,"Strongly condemns ongoing military actions by Russia, Syria and Iran and demands that they stop, but does not propose or reference sanctions, economic restrictions, or other forms of economic coercion. Despite severe geopolitical rhetoric, the sanctions-pressure signal is minimal."
1135602449987899400,2019-06-03 17:41:37,"London part of trip is going really well. The Queen and the entire Royal family have been fantastic. The relationship with the United Kingdom is very strong. Tremendous crowds of well wishers and people that love our Country. Haven't seen any protests yet, but I'm sure the.... Russia has informed us that they have removed most of their people from Venezuela.",Very low,Indirect,Partially concluded,14,Very low,"Reports that Russia has withdrawn most of its personnel from Venezuela but communicates no US sanctions action, economic restriction, threat, or coercive economic demand. Despite involving Russia and Venezuela, the tweet contains minimal sanctions-pressure information."
1156933712761753600,2019-08-01 14:24:26,"China, Iran &, other foreign countries are looking at the Democrat Candidates and ""drooling"" over the small prospect that they could be dealing with them in the not too distant future. They would be able to rip off our beloved USA like never before. With President Trump, NO WAY!",Low,Direct,Ongoing,28,Low,"Portrays Iran, China, and other foreign countries as seeking to economically exploit the United States and asserts that this will not occur under the current administration. However, no sanctions, economic restrictions, or specific coercive measures are referenced or threatened."
1.1595224923246879e+18,2019-08-08 17:51:19,"Iran is in serious financial trouble. They want desperately to talk to the U.S., but are given mixed signals from all of those purporting to represent us, including President Macron of France.... ....I know Emmanuel means well, as do all others, but nobody speaks for the United States but the United States itself. No one is authorized in any way, shape, or form, to represent us!",Moderate,Indirect,Ongoing,57,Moderate,"Describes Iran as being in serious financial difficulty and desperate to negotiate with the United States, indicating substantial economic pressure that may be affecting its behaviour. However, the tweet does not explicitly attribute these conditions to sanctions or announce any sanctions-related action, keeping the signal below High."
1161026203345723400,2019-08-12 21:26:32,"The United States is learning much from the failed missile explosion in Russia. We have similar, though more advanced, technology. The Russian ""Skyfall"" explosion has people worried about the air around the facility, and far beyond. Not good!",Very low,Indirect,Concluded,5,Very low,"Comments on a failed Russian missile test and its potential environmental consequences but communicates no sanctions, economic pressure, restriction, or threat of economic action against Russia."
985858100149309400,2018-04-16 12:31:02,Russia and China are playing the Currency Devaluation game as the U.S. keeps raising interest rates. Not acceptable!,Low,Direct,Ongoing,35,Low,"Accuses Russia and China of deliberately devaluing their currencies while US interest rates rise and directly condemns this behaviour, but does not announce or threaten sanctions, restrictions, or other coercive economic measures."
102789928658611e4,2018-08-10 12:47:42,"I have just authorized a doubling of Tariffs on Steel and Aluminum with respect to Turkey as their currency, the Turkish Lira, slides rapidly downward against our very strong Dollar! Aluminum will now be 20% and Steel 50%. Our relations with Turkey are not good at this time!",Very high,Direct,Partially concluded,90,Very high,"Directly announces the doubling of US steel and aluminium tariffs on Turkey, specifying rates of 20% and 50%, amid a rapidly weakening Turkish lira and explicitly deteriorating US-Turkey relations. The tweet communicates an implemented and substantial form of economic coercion against a specific country."
1146423819906748400,2019-07-03 14:21:52,"China and Europe playing big currency manipulation game and pumping money into their system in order to compete with USA. We should MATCH, or continue being the dummies who sit back and politely watch as other countries continue to play their games - as they have for many years!",Moderate,Direct,Ongoing,53,Moderate,"Accuses China and Europe or using currency manipulation and monetary stimulus to gain a competitive advantage and directly calls for the US to respond in kind. This represents an economically confrontational policy signal, but does not involve sanctions, restrictions, or punitive economic measures against the targeted countries."
1149661694735474700,2019-07-12 12:48:02,"When you are the big ""piggy bank"" that other countries have been ripping off for years (to a level that is not to be believed), Tariffs are a great negotiating tool, a great revenue producer and, most importantly, a powerful way to get...... .....if Mexico produces (which I think they will). Biggest part of deal with Mexico has not yet been revealed! China is similar, except they devalue currency &, subsidize companies to lessen effect of 25% Tariffs. So far, little effect to consumers. Companies will relocate to U.S. ....companies to come to the USA and to get companies that have left us for other lands to COME BACK HOME. We stupidly lost 30% of our auto business to Mexico. If the Tariffs went on at the higher level, they would all come back, and fast. But very happy with the deal I made,... Great job by Rush Limbaugh on @foxandfriends!",High,Direct,Ongoing,78,High,"Explicitly presents tariffs as a coercive negotiating instrument, references existing 25% tariffs on China, and discusses the potential escalation of tariffs on Mexico to force changes in trade and corporate behaviour. Although the measures function as substantial economic pressure, their primary purpose in the tweet is trade negotiation and industrial policy rather than a conventional sanctions regime, keeping the score just below Very High."
